,date,rcp_scenario,temp
0,2022-01-1,rcp45,16.127950517654167
1,2022-01-2,rcp45,16.18981504687277
2,2022-01-3,rcp45,16.236903223215716
3,2022-01-4,rcp45,16.27912748495044
4,2022-01-5,rcp45,16.33183226866193
5,2022-01-6,rcp45,16.332006885935353
6,2022-01-7,rcp45,16.314209518322375
7,2022-01-8,rcp45,15.160554563037865
8,2022-01-9,rcp45,14.048019613247204
9,2022-01-10,rcp45,13.916865161367637
10,2022-01-11,rcp45,13.871841836935717
11,2022-01-12,rcp45,13.866136072223929
12,2022-01-13,rcp45,13.716619153028473
13,2022-01-14,rcp45,13.477083456923703
14,2022-01-15,rcp45,13.180917122056803
15,2022-01-16,rcp45,13.017104794579307
16,2022-01-17,rcp45,13.013300155235758
17,2022-01-18,rcp45,13.07829789498318
18,2022-01-19,rcp45,13.231521190689962
19,2022-01-20,rcp45,13.371507472453812
20,2022-01-21,rcp45,13.483028640799334
21,2022-01-22,rcp45,13.566488518769281
22,2022-01-23,rcp45,13.826931872951723
23,2022-01-24,rcp45,14.187312291994674
24,2022-01-25,rcp45,14.458338041986387
25,2022-01-26,rcp45,14.638508838103725
26,2022-01-27,rcp45,14.737284284450864
27,2022-01-28,rcp45,14.791395722152368
28,2022-01-29,rcp45,14.898531174673769
29,2022-01-30,rcp45,14.856509594046296
30,2022-01-31,rcp45,14.850667723950979
31,2027-01-1,rcp45,9.653897543518507
32,2027-01-2,rcp45,10.241235959180297
33,2027-01-3,rcp45,10.378832605750622
34,2027-01-4,rcp45,10.640372407217228
35,2027-01-5,rcp45,10.999573105599758
36,2027-01-6,rcp45,11.438939871208088
37,2027-01-7,rcp45,11.868445948275891
38,2027-01-8,rcp45,12.345918707008794
39,2027-01-9,rcp45,12.920591666648056
40,2027-01-10,rcp45,13.178600195963314
41,2027-01-11,rcp45,13.318219159863764
42,2027-01-12,rcp45,13.532239869336161
43,2027-01-13,rcp45,13.763950259120529
44,2027-01-14,rcp45,13.94063728676821
45,2027-01-15,rcp45,14.043016793031908
46,2027-01-16,rcp45,14.098226081922448
47,2027-01-17,rcp45,12.762625874167039
