no,date,sst
1,2019-05-01,289.43
2,2019-05-02,289.63998
3,2019-05-03,290.1
4,2019-05-04,290.07
5,2019-05-05,289.66998
6,2019-05-06,290.00998
7,2019-05-07,290.09
8,2019-05-08,289.75998
9,2019-05-09,289.87
10,2019-05-10,289.88998
11,2019-05-11,290.16998
12,2019-05-12,290.15
13,2019-05-13,290.41998
14,2019-05-14,290.50998
15,2019-05-15,290.31
16,2019-05-16,289.84
17,2019-05-17,290.09
18,2019-05-18,291.16998
19,2019-05-19,291.08
20,2019-05-20,290.46
21,2019-05-21,290.32
22,2019-05-22,290.16
23,2019-05-23,290.47998
24,2019-05-24,290.55
25,2019-05-25,290.94998
26,2019-05-26,291.08
27,2019-05-27,291.03
28,2019-05-28,291.12
29,2019-05-29,291.22
30,2019-05-30,291.15
31,2019-05-31,290.47998
32,2019-06-01,291.72
33,2019-06-02,291.75
34,2019-06-03,292.69
35,2019-06-04,292.71
36,2019-06-05,292.79
37,2019-06-06,294.15
38,2019-06-07,293.75
39,2019-06-08,293.91998
40,2019-06-09,294.36
41,2019-06-10,295.47998
42,2019-06-11,295.84
43,2019-06-12,296.47
44,2019-06-13,295.79
45,2019-06-14,296.44998
46,2019-06-15,296.61
47,2019-06-16,296.43
48,2019-06-17,297.07
49,2019-06-18,298.44998
50,2019-06-19,298.84
51,2019-06-20,298.4
52,2019-06-21,298.4
53,2019-06-22,298.91
54,2019-06-23,299.19998
55,2019-06-24,298.25998
56,2019-06-25,297.77
57,2019-06-26,298.28
58,2019-06-27,298.25998
59,2019-06-28,297.68
60,2019-06-29,297.50998
61,2019-06-30,297.22998
62,2019-07-01,297.19
63,2019-07-02,297.22
64,2019-07-03,297.66
65,2019-07-04,297.69
66,2019-07-05,298.38
67,2019-07-06,297.94998
68,2019-07-07,298.93
69,2019-07-08,299.00998
70,2019-07-09,298.93
71,2019-07-10,297.50998
72,2019-07-11,297.4
73,2019-07-12,296.88
74,2019-07-13,296.72998
75,2019-07-14,296.63998
76,2019-07-15,296.88998
77,2019-07-16,296.6
78,2019-07-17,296.47998
79,2019-07-18,296.28
80,2019-07-19,296.83
81,2019-07-20,297.72
82,2019-07-21,298.11
83,2019-07-22,298.61
84,2019-07-23,299.32
85,2019-07-24,297.94
86,2019-07-25,297.38998
87,2019-07-26,298.19998
88,2019-07-27,299.16
89,2019-07-28,298.99
90,2019-07-29,298.00998
91,2019-07-30,297.83
92,2019-07-31,297.69998
93,2019-08-01,298.55
94,2019-08-02,298.74
95,2019-08-03,299.5
96,2019-08-04,298.44
97,2019-08-05,297.93
98,2019-08-06,297.84
99,2019-08-07,298.84
100,2019-08-08,298.66998
101,2019-08-09,298.19998
102,2019-08-10,299.03
103,2019-08-11,299.28
104,2019-08-12,300.13
105,2019-08-13,300.99
106,2019-08-14,300.91998
107,2019-08-15,300.11
108,2019-08-16,298.61
109,2019-08-17,298.33
110,2019-08-18,298.41998
111,2019-08-19,298.31
112,2019-08-20,298.15
113,2019-08-21,299.33
114,2019-08-22,299.57
115,2019-08-23,300.08
116,2019-08-24,299.93
117,2019-08-25,299.56
118,2019-08-26,299.9
119,2019-08-27,300.06
120,2019-08-28,299.82
121,2019-08-29,299.63998
122,2019-08-30,300.05
123,2019-08-31,299.97998
124,2019-09-01,299.9
125,2019-09-02,299.97998
126,2019-09-03,299.97
127,2019-09-04,299.1
128,2019-09-05,298.03
129,2019-09-06,298.16998
130,2019-09-07,299.08
131,2019-09-08,298.88998
132,2019-09-09,298.77
133,2019-09-10,298.66
134,2019-09-11,298.65
135,2019-09-12,298.28
136,2019-09-13,298
137,2019-09-14,297.96
138,2019-09-15,297.33
139,2019-09-16,296.69998
140,2019-09-17,296.94998
141,2019-09-18,296.74
142,2019-09-19,296.82
143,2019-09-20,295.88
144,2019-09-21,295.36
