id;order;xn;yn;entry_number;entry_date;area;unit;breeding_amount;species 1;species 2;species 3;species 4;species 5;species 6;species 7;species 8;species 9;species 10;species 11;species 12;species 13;species 14;species 15;species 16;species 17;species 18;species 19;species 20
32;1;4856095,502;420143,756;27.;4.5.2018;224800;m2;804,4;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
32;2;4856323,478;420306,341;27.;4.5.2018;224800;m2;804,4;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
32;3;4856275,075;420374,214;27.;4.5.2018;224800;m2;804,4;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
32;4;4856106,582;420444,394;27.;4.5.2018;224800;m2;804,4;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
32;5;4856047,034;420812,587;27.;4.5.2018;224800;m2;804,4;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
32;6;4855701,51;420756,703;27.;4.5.2018;224800;m2;804,4;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
32;7;4855778,668;420279,62;27.;4.5.2018;224800;m2;804,4;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
32;8;4856025,512;420241,898;27.;4.5.2018;224800;m2;804,4;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
33;1;4856277,323;420712,308;27.;4.5.2018;205100;m2;1340,6;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
33;2;4856624,298;420855,152;27.;4.5.2018;205100;m2;1340,6;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
33;3;4856446,632;421286,719;27.;4.5.2018;205100;m2;1340,6;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
33;4;4856387,173;421352,341;27.;4.5.2018;205100;m2;1340,6;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
33;5;4856067,94;421220,92;27.;4.5.2018;205100;m2;1340,6;lubin (Dicentrarchus labrax); komarca (Sparus aurata); hama  (Argyrosomus regius); gof (Seriola dumerili);zubatac (Dentex dentex);;;;;;;;;;;;;;;
49;1;4861582,64;412133,64;41.;6.7.2018;25172;m2;200;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius);pic (Diplodus puntazzo);;;;;;;;;;;;;;
49;2;4861513,57;412246,41;41.;6.7.2018;25172;m2;200;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius);pic (Diplodus puntazzo);;;;;;;;;;;;;;
49;3;4861443,51;412359,17;41.;6.7.2018;25172;m2;200;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius);pic (Diplodus puntazzo);;;;;;;;;;;;;;
49;4;4861362,41;412308,68;41.;6.7.2018;25172;m2;200;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius);pic (Diplodus puntazzo);;;;;;;;;;;;;;
49;5;4861432,45;412196,93;41.;6.7.2018;25172;m2;200;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius);pic (Diplodus puntazzo);;;;;;;;;;;;;;
49;6;4861501,52;412084,16;41.;6.7.2018;25172;m2;200;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius);pic (Diplodus puntazzo);;;;;;;;;;;;;;
56;1;4873453,27;388284,69;42.;6.7.2018;536800;m2;3000;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo);gof (Seriola dumerili);;;;;;;;;;;;;
56;2;4873144,94;388822,59;42.;6.7.2018;536800;m2;3000;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo);gof (Seriola dumerili);;;;;;;;;;;;;
56;3;4872846,56;389343,13;42.;6.7.2018;536800;m2;3000;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo);gof (Seriola dumerili);;;;;;;;;;;;;
56;4;4872464,82;389124,32;42.;6.7.2018;536800;m2;3000;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo);gof (Seriola dumerili);;;;;;;;;;;;;
56;5;4872763,21;388603,77;42.;6.7.2018;536800;m2;3000;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo);gof (Seriola dumerili);;;;;;;;;;;;;
56;6;4873071,54;388065,88;42.;6.7.2018;536800;m2;3000;lubin (Dicentrarchus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo);gof (Seriola dumerili);;;;;;;;;;;;;
58;1;5003315,14;281260,46;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;2;5003350,78;281231,69;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;3;5003485,06;280819,84;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;4;5003470,25;280784,44;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;5;5003497,14;280621,4;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;6;5003522,07;280593,87;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;7;5003520,04;280162,46;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;8;5003494,25;279999,15;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;9;5003396,99;279296,99;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;10;5003408,88;279265,42;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;11;5003175,83;278808,51;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
58;12;5003128,51;278770,8;43.;6.7.2018;3751;m2;150;dagnja (Mytilus galloprovincialis);kamenica (Ostrea edulis);;;;;;;;;;;;;;;;;;
61;1;4877761,43;397605,46;45.;6.7.2018;42439;m2;250;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
61;2;4877849,32;397793,6;45.;6.7.2018;42439;m2;250;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
61;3;4877651,43;397852,87;45.;6.7.2018;42439;m2;250;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
61;4;4877563,54;397664,73;45.;6.7.2018;42439;m2;250;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
62;1;4877223,86;396836,36;45.;6.7.2018;36241;m2;250;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
62;2;4877307,31;397002,77;45.;6.7.2018;36241;m2;250;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
62;3;4877120,13;397097,53;45.;6.7.2018;36241;m2;250;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
62;4;4877058,69;396930,01;45.;6.7.2018;36241;m2;250;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
63;1;4876543;396756;45.;6.7.2018;96664;m2;1000;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
63;2;4876661;396869;45.;6.7.2018;96664;m2;1000;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
63;3;4877744,19;396786,66;45.;6.7.2018;96664;m2;1000;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
63;4;4876785,55;396826,26;45.;6.7.2018;96664;m2;1000;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
63;5;4876853,45;396759,05;45.;6.7.2018;96664;m2;1000;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
63;6;4876812,09;396719,44;45.;6.7.2018;96664;m2;1000;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
63;7;4877054;396480;45.;6.7.2018;96664;m2;1000;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
63;8;4876937;396363;45.;6.7.2018;96664;m2;1000;lubin (Dicentrachus labrax); komarca (Sparus aurata); zubatac (Dentex dentex); pagar (Pagrus pagrus); hama (Argyrosomus regius); pic (Diplodus puntazzo); gof (Seriola dumerili);romb (Platichthys flesus);;;;;;;;;;;;
