,species
0,Argyrosomus regius
1,Chelon labrosus
2,Dentex dentex
3,Dicentrarchus labrax
4,Diplodus puntazzo
5,Diplodus sargus
6,Diplodus vulgaris
7,Gadus morhua
8,Hippoglossus hippoglossus
9,Lithognathus mormyrus
10,Liza aurata
11,Liza ramado
12,Mugil cephalus
13,Oblada melanura
14,Oncorhynchus mykiss
15,Pagellus erythrinus
16,Pagrus pagrus
17,Platichthys flesus
18,Polyprion americanus
19,Salmo salar
20,Salmo trutta
21,Sarpa salpa
22,Sciaena umbra
23,Scophthalmus maximus
24,Seriola dumerili
25,Seriola lalandi
26,Solea solea
27,Sparus aurata
28,Thunnus albacares
29,Thunnus orientalis
30,Thunnus thynnus
31,Umbrina cirrosa
