no,date,sst
1,2019-05-01,288.72
2,2019-05-02,288.91998
3,2019-05-03,289.52
4,2019-05-04,289.34
5,2019-05-05,288.91
6,2019-05-06,289.15
7,2019-05-07,289.02
8,2019-05-08,288.63998
9,2019-05-09,288.66998
10,2019-05-10,288.81
11,2019-05-11,289.19998
12,2019-05-12,289.13998
13,2019-05-13,289.11
14,2019-05-14,288.84
15,2019-05-15,288.75
16,2019-05-16,288.74
17,2019-05-17,288.75
18,2019-05-18,289.44
19,2019-05-19,289.22998
20,2019-05-20,289.15
21,2019-05-21,289.24
22,2019-05-22,289.54
23,2019-05-23,290.06
24,2019-05-24,290.47998
25,2019-05-25,290.41998
26,2019-05-26,290.5
27,2019-05-27,290.44
28,2019-05-28,290.5
29,2019-05-29,290.68
30,2019-05-30,290.84
31,2019-05-31,290.69998
32,2019-06-01,291.22
33,2019-06-02,291.35
34,2019-06-03,291.49
35,2019-06-04,291.75
36,2019-06-05,291.97998
37,2019-06-06,292.62
38,2019-06-07,292.72998
39,2019-06-08,292.84
40,2019-06-09,293.88998
41,2019-06-10,294.72
42,2019-06-11,296.25998
43,2019-06-12,296.12
44,2019-06-13,295.12
45,2019-06-14,296.66
46,2019-06-15,296.44
47,2019-06-16,295.54
48,2019-06-17,296.15
49,2019-06-18,296.44
50,2019-06-19,296.82
51,2019-06-20,296.93
52,2019-06-21,297.71
53,2019-06-22,298.21
54,2019-06-23,297.4
55,2019-06-24,296.4
56,2019-06-25,296.28
57,2019-06-26,296.03
58,2019-06-27,296.94
59,2019-06-28,296.68
60,2019-06-29,296.32
61,2019-06-30,295.58
62,2019-07-01,296.4
63,2019-07-02,296.9
64,2019-07-03,297.16
65,2019-07-04,297.09
66,2019-07-05,296.72
67,2019-07-06,296.82
68,2019-07-07,297.4
69,2019-07-08,298.03
70,2019-07-09,297.65
71,2019-07-10,296.16998
72,2019-07-11,296.02
73,2019-07-12,295.50998
74,2019-07-13,295.58
75,2019-07-14,295.53
76,2019-07-15,295.3
77,2019-07-16,294.93
78,2019-07-17,295.44998
79,2019-07-18,295.28
80,2019-07-19,296.22
81,2019-07-20,296.15
82,2019-07-21,296.63
83,2019-07-22,297.59
84,2019-07-23,297.55
85,2019-07-24,296.41998
86,2019-07-25,296.03
87,2019-07-26,297.37
88,2019-07-27,298.00998
89,2019-07-28,298.08
90,2019-07-29,297.41
91,2019-07-30,297.46
92,2019-07-31,297.65
93,2019-08-01,298.12
94,2019-08-02,298.00998
95,2019-08-03,298.15
96,2019-08-04,297.44998
97,2019-08-05,296.81
98,2019-08-06,296.94
99,2019-08-07,297.58
100,2019-08-08,297.41
101,2019-08-09,297.47998
